"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"2454.199999988079","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","28981","0.0-2.0-0.0-1.0","0zxd","auditory","true"
"921.1000000238419","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","30405","0.0-2.0-0.0-1.1","0zxd","auditory","true"
"586.3999999761581","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","7","31493","0.0-2.0-0.0-1.2","0zxd","auditory","true"
"674.6999999880791","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","9","32669","0.0-2.0-0.0-1.3","0zxd","auditory","true"
"594.3000000119209","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","33764","0.0-2.0-0.0-1.4","0zxd","auditory","true"
"3151.100000023842","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","37417","0.0-2.0-0.0-1.5","0zxd","auditory","true"
"647.5999999642372","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","38568","0.0-2.0-0.0-1.6","0zxd","auditory","true"
"610","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","39680","0.0-2.0-0.0-1.7","0zxd","auditory","true"
"593.1999999880791","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","40776","0.0-2.0-0.0-1.8","0zxd","auditory","true"
"525.9000000357628","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","41808","0.0-2.0-0.0-1.9","0zxd","auditory","true"
"503.60000002384186","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","23","42816","0.0-2.0-0.0-1.10","0zxd","auditory","true"
"1146.4000000357628","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","25","44464","0.0-2.0-0.0-1.11","0zxd","auditory","true"
"602.6999999880791","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","27","45568","0.0-2.0-0.0-1.12","0zxd","auditory","true"
"464.9000000357628","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","46536","0.0-2.0-0.0-1.13","0zxd","auditory","true"
"531.4000000357628","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","47568","0.0-2.0-0.0-1.14","0zxd","auditory","true"
"416.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","48487","0.0-2.0-0.0-1.15","0zxd","auditory","true"
"3056.600000023842","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","125420","0.0-2.0-0.1-1.16","0zxd","auditory","true"
"485.80000001192093","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","126411","0.0-2.0-0.1-1.17","0zxd","auditory","true"
"427.10000002384186","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","40","127340","0.0-2.0-0.1-1.18","0zxd","auditory","true"
"423.9000000357628","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","128268","0.0-2.0-0.1-1.19","0zxd","auditory","true"
"544.1999999880791","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","44","129315","0.0-2.0-0.1-1.20","0zxd","auditory","true"
"554.8999999761581","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","46","130372","0.0-2.0-0.1-1.21","0zxd","auditory","false"
"546.8999999761581","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","131420","0.0-2.0-0.1-1.22","0zxd","auditory","true"
"384.7000000476837","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","50","132308","0.0-2.0-0.1-1.23","0zxd","auditory","true"
"432.9000000357628","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","133244","0.0-2.0-0.1-1.24","0zxd","auditory","true"
"375.30000001192093","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","134123","0.0-2.0-0.1-1.25","0zxd","auditory","true"
"494","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","56","135123","0.0-2.0-0.1-1.26","0zxd","auditory","true"
"454.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","136083","0.0-2.0-0.1-1.27","0zxd","auditory","true"
"431.2999999523163","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","137019","0.0-2.0-0.1-1.28","0zxd","auditory","true"
"401.7000000476837","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","62","137923","0.0-2.0-0.1-1.29","0zxd","auditory","true"
"369","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","138795","0.0-2.0-0.1-1.30","0zxd","auditory","true"
"422.30000001192093","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","66","139723","0.0-2.0-0.1-1.31","0zxd","auditory","true"
