"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"954","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","270945","0.0-2.0-0.0-1.0","1woj","auditory","true"
"945","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","5","272395","0.0-2.0-0.0-1.1","1woj","auditory","true"
"654","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","273555","0.0-2.0-0.0-1.2","1woj","auditory","true"
"664","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","274725","0.0-2.0-0.0-1.3","1woj","auditory","true"
"656","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","275887","0.0-2.0-0.0-1.4","1woj","auditory","true"
"568","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","13","276960","0.0-2.0-0.0-1.5","1woj","auditory","true"
"426","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","15","277892","0.0-2.0-0.0-1.6","1woj","auditory","true"
"355","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","278753","0.0-2.0-0.0-1.7","1woj","auditory","true"
"455","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","279712","0.0-2.0-0.0-1.8","1woj","auditory","true"
"362","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","21","280578","0.0-2.0-0.0-1.9","1woj","auditory","true"
"364","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","23","281447","0.0-2.0-0.0-1.10","1woj","auditory","true"
"290","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","282244","0.0-2.0-0.0-1.11","1woj","auditory","true"
"299","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","283049","0.0-2.0-0.0-1.12","1woj","auditory","true"
"261","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","29","283815","0.0-2.0-0.0-1.13","1woj","auditory","true"
"291","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","284611","0.0-2.0-0.0-1.14","1woj","auditory","true"
"292.0000000000582","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","285409","0.0-2.0-0.0-1.15","1woj","auditory","true"
"541","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","291049","0.0-2.0-0.1-1.16","1woj","auditory","true"
"273","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","291828","0.0-2.0-0.1-1.17","1woj","auditory","false"
"685","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","293018","0.0-2.0-0.1-1.18","1woj","auditory","true"
"558.0000000000582","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","42","294082","0.0-2.0-0.1-1.19","1woj","auditory","true"
"510","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","295097","0.0-2.0-0.1-1.20","1woj","auditory","true"
"486","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","46","296089","0.0-2.0-0.1-1.21","1woj","auditory","true"
"600.0000000000582","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","297194","0.0-2.0-0.1-1.22","1woj","auditory","true"
"471.0000000000582","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","298170","0.0-2.0-0.1-1.23","1woj","auditory","true"
"504","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","299179","0.0-2.0-0.1-1.24","1woj","auditory","true"
"364","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","300049","0.0-2.0-0.1-1.25","1woj","auditory","true"
"518","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","56","301073","0.0-2.0-0.1-1.26","1woj","auditory","true"
"749","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","302328","0.0-2.0-0.1-1.27","1woj","auditory","true"
"412","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","303245","0.0-2.0-0.1-1.28","1woj","auditory","true"
"479","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","304229","0.0-2.0-0.1-1.29","1woj","auditory","true"
"759.0000000000582","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","305492","0.0-2.0-0.1-1.30","1woj","auditory","true"
"634.9999999999418","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","66","306633","0.0-2.0-0.1-1.31","1woj","auditory","true"
