"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1146","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","3","69984","0.0-2.0-0.0-1.0","6t01","auditory","true"
"557","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","5","71058","0.0-2.0-0.0-1.1","6t01","auditory","true"
"854","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","72423","0.0-2.0-0.0-1.2","6t01","auditory","true"
"4058","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","76988","0.0-2.0-0.0-1.3","6t01","auditory","true"
"802","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","78296","0.0-2.0-0.0-1.4","6t01","auditory","true"
"670","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","79469","0.0-2.0-0.0-1.5","6t01","auditory","true"
"618","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","80595","0.0-2.0-0.0-1.6","6t01","auditory","true"
"568","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","81676","0.0-2.0-0.0-1.7","6t01","auditory","true"
"682","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","19","82869","0.0-2.0-0.0-1.8","6t01","auditory","true"
"641","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","21","84016","0.0-2.0-0.0-1.9","6t01","auditory","true"
"709","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","85230","0.0-2.0-0.0-1.10","6t01","auditory","true"
"517","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","86251","0.0-2.0-0.0-1.11","6t01","auditory","true"
"631","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","27","87389","0.0-2.0-0.0-1.12","6t01","auditory","true"
"663","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","88552","0.0-2.0-0.0-1.13","6t01","auditory","true"
"584","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","89646","0.0-2.0-0.0-1.14","6t01","auditory","true"
"707","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","90866","0.0-2.0-0.0-1.15","6t01","auditory","true"
"565","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","96187","0.0-2.0-0.1-1.16","6t01","auditory","true"
"513","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","97214","0.0-2.0-0.1-1.17","6t01","auditory","true"
"610","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","40","98329","0.0-2.0-0.1-1.18","6t01","auditory","true"
"477","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","42","99317","0.0-2.0-0.1-1.19","6t01","auditory","true"
"547","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","100367","0.0-2.0-0.1-1.20","6t01","auditory","true"
"621","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","101491","0.0-2.0-0.1-1.21","6t01","auditory","true"
"615","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","102615","0.0-2.0-0.1-1.22","6t01","auditory","true"
"554","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","103675","0.0-2.0-0.1-1.23","6t01","auditory","true"
"485","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","104677","0.0-2.0-0.1-1.24","6t01","auditory","true"
"537","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","105718","0.0-2.0-0.1-1.25","6t01","auditory","true"
"559","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","56","106782","0.0-2.0-0.1-1.26","6t01","auditory","true"
"569","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","58","107869","0.0-2.0-0.1-1.27","6t01","auditory","true"
"738","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","109109","0.0-2.0-0.1-1.28","6t01","auditory","true"
"597","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","110224","0.0-2.0-0.1-1.29","6t01","auditory","true"
"644","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","64","111371","0.0-2.0-0.1-1.30","6t01","auditory","true"
"704","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","112579","0.0-2.0-0.1-1.31","6t01","auditory","true"
