"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"607.6000000089407","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","22846","0.0-2.0-0.0-1.0","740l","auditory","true"
"517.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","23868","0.0-2.0-0.0-1.1","740l","auditory","true"
"510.40000000596046","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","7","24882","0.0-2.0-0.0-1.2","740l","auditory","true"
"508.70000000298023","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","9","25894","0.0-2.0-0.0-1.3","740l","auditory","true"
"414.29999999701977","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","26811","0.0-2.0-0.0-1.4","740l","auditory","true"
"429.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","13","27744","0.0-2.0-0.0-1.5","740l","auditory","true"
"395.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","15","28642","0.0-2.0-0.0-1.6","740l","auditory","true"
"413.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","29561","0.0-2.0-0.0-1.7","740l","auditory","true"
"472.90000000596046","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","30537","0.0-2.0-0.0-1.8","740l","auditory","true"
"519.2000000029802","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","31559","0.0-2.0-0.0-1.9","740l","auditory","true"
"530.2000000029802","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","23","32595","0.0-2.0-0.0-1.10","740l","auditory","true"
"545.2999999970198","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","25","33646","0.0-2.0-0.0-1.11","740l","auditory","true"
"526.3999999910593","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","34678","0.0-2.0-0.0-1.12","740l","auditory","true"
"453.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","29","35638","0.0-2.0-0.0-1.13","740l","auditory","true"
"501.3999999910593","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","36644","0.0-2.0-0.0-1.14","740l","auditory","true"
"465.09999999403954","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","37614","0.0-2.0-0.0-1.15","740l","auditory","true"
"469.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","39875","0.0-2.0-0.1-1.16","740l","auditory","true"
"541.0999999940395","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","40922","0.0-2.0-0.1-1.17","740l","auditory","true"
"573.2000000029802","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","41998","0.0-2.0-0.1-1.18","740l","auditory","true"
"544.7999999970198","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","43049","0.0-2.0-0.1-1.19","740l","auditory","true"
"521.0999999940395","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","44076","0.0-2.0-0.1-1.20","740l","auditory","true"
"380.20000000298023","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","46","44961","0.0-2.0-0.1-1.21","740l","auditory","true"
"398.8999999910593","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","45864","0.0-2.0-0.1-1.22","740l","auditory","true"
"421.29999999701977","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","46788","0.0-2.0-0.1-1.23","740l","auditory","true"
"452.09999999403954","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","47745","0.0-2.0-0.1-1.24","740l","auditory","true"
"353.29999999701977","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","48604","0.0-2.0-0.1-1.25","740l","auditory","true"
"375.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","49486","0.0-2.0-0.1-1.26","740l","auditory","true"
"364.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","50353","0.0-2.0-0.1-1.27","740l","auditory","true"
"340.79999999701977","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","51201","0.0-2.0-0.1-1.28","740l","auditory","true"
"372.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","52079","0.0-2.0-0.1-1.29","740l","auditory","true"
"474.79999999701977","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","53060","0.0-2.0-0.1-1.30","740l","auditory","true"
"405.1000000089407","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","53972","0.0-2.0-0.1-1.31","740l","auditory","true"
