"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1556","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","23910","0.0-2.0-0.0-1.0","bfvq","auditory","true"
"805","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","5","25218","0.0-2.0-0.0-1.1","bfvq","auditory","true"
"653","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","26380","0.0-2.0-0.0-1.2","bfvq","auditory","true"
"643","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","27531","0.0-2.0-0.0-1.3","bfvq","auditory","true"
"450","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","28489","0.0-2.0-0.0-1.4","bfvq","auditory","true"
"627","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","13","29619","0.0-2.0-0.0-1.5","bfvq","auditory","true"
"569","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","15","30692","0.0-2.0-0.0-1.6","bfvq","auditory","true"
"415","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","31613","0.0-2.0-0.0-1.7","bfvq","auditory","true"
"485","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","19","32605","0.0-2.0-0.0-1.8","bfvq","auditory","true"
"327","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","33434","0.0-2.0-0.0-1.9","bfvq","auditory","true"
"401","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","34342","0.0-2.0-0.0-1.10","bfvq","auditory","true"
"416","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","25","35263","0.0-2.0-0.0-1.11","bfvq","auditory","true"
"423","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","27","36192","0.0-2.0-0.0-1.12","bfvq","auditory","true"
"443","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","29","37137","0.0-2.0-0.0-1.13","bfvq","auditory","true"
"406","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","38050","0.0-2.0-0.0-1.14","bfvq","auditory","true"
"447","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","38998","0.0-2.0-0.0-1.15","bfvq","auditory","true"
"524","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","45146","0.0-2.0-0.1-1.16","bfvq","auditory","true"
"475","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","46125","0.0-2.0-0.1-1.17","bfvq","auditory","true"
"302","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","46930","0.0-2.0-0.1-1.18","bfvq","auditory","true"
"368","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","42","47806","0.0-2.0-0.1-1.19","bfvq","auditory","true"
"428","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","48740","0.0-2.0-0.1-1.20","bfvq","auditory","true"
"348","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","49591","0.0-2.0-0.1-1.21","bfvq","auditory","true"
"287","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","50384","0.0-2.0-0.1-1.22","bfvq","auditory","true"
"319","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","51207","0.0-2.0-0.1-1.23","bfvq","auditory","true"
"287","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","52001","0.0-2.0-0.1-1.24","bfvq","auditory","true"
"319","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","52827","0.0-2.0-0.1-1.25","bfvq","auditory","true"
"365","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","53698","0.0-2.0-0.1-1.26","bfvq","auditory","true"
"415","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","58","54616","0.0-2.0-0.1-1.27","bfvq","auditory","true"
"276","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","60","55398","0.0-2.0-0.1-1.28","bfvq","auditory","true"
"390","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","56292","0.0-2.0-0.1-1.29","bfvq","auditory","true"
"306","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","57105","0.0-2.0-0.1-1.30","bfvq","auditory","true"
"375","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","66","57982","0.0-2.0-0.1-1.31","bfvq","auditory","true"
