"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"401.80000000004657","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","7583","0.0-2.0-0.0-1.0","cly8","auditory","true"
"1015.3000000000466","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","9105","0.0-2.0-0.0-1.1","cly8","auditory","true"
"447.80000000004657","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","7","10055","0.0-2.0-0.0-1.2","cly8","auditory","true"
"442.30000000004657","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","11000","0.0-2.0-0.0-1.3","cly8","auditory","true"
"375.80000000004657","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","11878","0.0-2.0-0.0-1.4","cly8","auditory","true"
"422.89999999990687","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","12806","0.0-2.0-0.0-1.5","cly8","auditory","true"
"414.19999999995343","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","13726","0.0-2.0-0.0-1.6","cly8","auditory","true"
"479","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","17","14710","0.0-2.0-0.0-1.7","cly8","auditory","true"
"447.69999999995343","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","19","15662","0.0-2.0-0.0-1.8","cly8","auditory","true"
"334.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","21","16502","0.0-2.0-0.0-1.9","cly8","auditory","true"
"314.30000000004657","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","17318","0.0-2.0-0.0-1.10","cly8","auditory","true"
"422.70000000018626","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","18245","0.0-2.0-0.0-1.11","cly8","auditory","true"
"395.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","27","19144","0.0-2.0-0.0-1.12","cly8","auditory","true"
"483.69999999995343","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","20134","0.0-2.0-0.0-1.13","cly8","auditory","true"
"381.30000000004657","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","21022","0.0-2.0-0.0-1.14","cly8","auditory","true"
"396.89999999990687","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","21920","0.0-2.0-0.0-1.15","cly8","auditory","true"
"334.69999999995343","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","26893","0.0-2.0-0.1-1.16","cly8","auditory","true"
"321.5999999998603","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","27718","0.0-2.0-0.1-1.17","cly8","auditory","true"
"425.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","28648","0.0-2.0-0.1-1.18","cly8","auditory","true"
"319.19999999995343","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","29470","0.0-2.0-0.1-1.19","cly8","auditory","true"
"359.4000000001397","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","44","30334","0.0-2.0-0.1-1.20","cly8","auditory","true"
"365.29999999981374","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","31206","0.0-2.0-0.1-1.21","cly8","auditory","true"
"344.30000000004657","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","48","32056","0.0-2.0-0.1-1.22","cly8","auditory","true"
"307.39999999990687","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","50","32870","0.0-2.0-0.1-1.23","cly8","auditory","false"
"419.60000000009313","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","33792","0.0-2.0-0.1-1.24","cly8","auditory","true"
"383.9000000001397","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","34677","0.0-2.0-0.1-1.25","cly8","auditory","true"
"421.80000000004657","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","56","35606","0.0-2.0-0.1-1.26","cly8","auditory","true"
"407.70000000018626","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","36519","0.0-2.0-0.1-1.27","cly8","auditory","true"
"387.80000000004657","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","37413","0.0-2.0-0.1-1.28","cly8","auditory","true"
"275.9000000001397","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","62","38192","0.0-2.0-0.1-1.29","cly8","auditory","true"
"379.4000000001397","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","39077","0.0-2.0-0.1-1.30","cly8","auditory","true"
"304.19999999995343","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","66","39888","0.0-2.0-0.1-1.31","cly8","auditory","true"
