"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"449.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","4416","0.0-2.0-0.0-1.0","mtlx","auditory","true"
"398.59999999403954","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","5321","0.0-2.0-0.0-1.1","mtlx","auditory","true"
"367.19999998807907","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","7","6192","0.0-2.0-0.0-1.2","mtlx","auditory","true"
"249.09999999403954","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","9","6949","0.0-2.0-0.0-1.3","mtlx","auditory","true"
"251.19999998807907","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","7702","0.0-2.0-0.0-1.4","mtlx","auditory","true"
"210.59999999403954","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","13","8418","0.0-2.0-0.0-1.5","mtlx","auditory","true"
"290.80000001192093","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","9213","0.0-2.0-0.0-1.6","mtlx","auditory","true"
"892.8999999761581","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","10610","0.0-2.0-0.0-1.7","mtlx","auditory","true"
"480","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","19","11596","0.0-2.0-0.0-1.8","mtlx","auditory","true"
"438","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","21","12539","0.0-2.0-0.0-1.9","mtlx","auditory","true"
"287.80000001192093","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","23","13331","0.0-2.0-0.0-1.10","mtlx","auditory","false"
"767.4000000059605","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","14603","0.0-2.0-0.0-1.11","mtlx","auditory","true"
"428.2000000178814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","15538","0.0-2.0-0.0-1.12","mtlx","auditory","true"
"744.5","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","29","16785","0.0-2.0-0.0-1.13","mtlx","auditory","false"
"857.7999999821186","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","18146","0.0-2.0-0.0-1.14","mtlx","auditory","true"
"594.9000000059605","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","19244","0.0-2.0-0.0-1.15","mtlx","auditory","true"
"501.39999997615814","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","23910","0.0-2.0-0.1-1.16","mtlx","auditory","true"
"628.1999999880791","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","25044","0.0-2.0-0.1-1.17","mtlx","auditory","true"
"593.1999999880791","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","26140","0.0-2.0-0.1-1.18","mtlx","auditory","true"
"898.2000000178814","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","27544","0.0-2.0-0.1-1.19","mtlx","auditory","false"
"565.7000000178814","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","44","28614","0.0-2.0-0.1-1.20","mtlx","auditory","true"
"553.8000000119209","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","29673","0.0-2.0-0.1-1.21","mtlx","auditory","true"
"610.3000000119209","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","48","30790","0.0-2.0-0.1-1.22","mtlx","auditory","true"
"482.7999999821186","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","50","31778","0.0-2.0-0.1-1.23","mtlx","auditory","false"
"677.7999999821186","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","32963","0.0-2.0-0.1-1.24","mtlx","auditory","true"
"452.2999999821186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","33921","0.0-2.0-0.1-1.25","mtlx","auditory","true"
"468.2000000178814","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","34894","0.0-2.0-0.1-1.26","mtlx","auditory","true"
"537","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","58","35933","0.0-2.0-0.1-1.27","mtlx","auditory","false"
"584.7999999821186","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","37021","0.0-2.0-0.1-1.28","mtlx","auditory","true"
"558.1999999880791","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","38081","0.0-2.0-0.1-1.29","mtlx","auditory","true"
"599.6999999880791","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","39186","0.0-2.0-0.1-1.30","mtlx","auditory","true"
"485.40000000596046","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","66","40178","0.0-2.0-0.1-1.31","mtlx","auditory","true"
