"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"758.5999999996275","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","42998","0.0-2.0-0.0-1.0","npst","auditory","true"
"426.1000000005588","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","5","43943","0.0-2.0-0.0-1.1","npst","auditory","true"
"509.3999999994412","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","44963","0.0-2.0-0.0-1.2","npst","auditory","true"
"454.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","9","45933","0.0-2.0-0.0-1.3","npst","auditory","true"
"449.20000000018626","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","46888","0.0-2.0-0.0-1.4","npst","auditory","true"
"558.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","13","47962","0.0-2.0-0.0-1.5","npst","auditory","true"
"816.5999999996275","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","49281","0.0-2.0-0.0-1.6","npst","auditory","true"
"406.90000000037253","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","50195","0.0-2.0-0.0-1.7","npst","auditory","true"
"480.40000000037253","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","19","51185","0.0-2.0-0.0-1.8","npst","auditory","true"
"361.29999999981374","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","52055","0.0-2.0-0.0-1.9","npst","auditory","true"
"219.79999999981374","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","23","52781","0.0-2.0-0.0-1.10","npst","auditory","true"
"484.09999999962747","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","53770","0.0-2.0-0.0-1.11","npst","auditory","true"
"261.3999999994412","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","54540","0.0-2.0-0.0-1.12","npst","auditory","false"
"719.5999999996275","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","29","55762","0.0-2.0-0.0-1.13","npst","auditory","true"
"374.79999999981374","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","56657","0.0-2.0-0.0-1.14","npst","auditory","true"
"475.1000000005588","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","57649","0.0-2.0-0.0-1.15","npst","auditory","true"
"576.7999999998137","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","61030","0.0-2.0-0.1-1.16","npst","auditory","true"
"460.6000000005588","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","61992","0.0-2.0-0.1-1.17","npst","auditory","true"
"469.90000000037253","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","40","62972","0.0-2.0-0.1-1.18","npst","auditory","true"
"413","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","42","63902","0.0-2.0-0.1-1.19","npst","auditory","true"
"282.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","64705","0.0-2.0-0.1-1.20","npst","auditory","true"
"271.40000000037253","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","65483","0.0-2.0-0.1-1.21","npst","auditory","true"
"341.79999999981374","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","66332","0.0-2.0-0.1-1.22","npst","auditory","true"
"922.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","67762","0.0-2.0-0.1-1.23","npst","auditory","true"
"741.3000000007451","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","69015","0.0-2.0-0.1-1.24","npst","auditory","true"
"1246.4000000003725","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","54","70768","0.0-2.0-0.1-1.25","npst","auditory","true"
"1030.0999999996275","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","72301","0.0-2.0-0.1-1.26","npst","auditory","true"
"505.09999999962747","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","58","73322","0.0-2.0-0.1-1.27","npst","auditory","true"
"586.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","74428","0.0-2.0-0.1-1.28","npst","auditory","true"
"562.8999999994412","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","75514","0.0-2.0-0.1-1.29","npst","auditory","true"
"500.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","76524","0.0-2.0-0.1-1.30","npst","auditory","true"
"660.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","66","77696","0.0-2.0-0.1-1.31","npst","auditory","true"
