"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1002.1999999880791","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","3","24587","0.0-2.0-0.0-1.0","oyhs","auditory","false"
"557.5999999940395","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","25656","0.0-2.0-0.0-1.1","oyhs","auditory","true"
"515","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","7","26674","0.0-2.0-0.0-1.2","oyhs","auditory","true"
"444.30000001192093","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","9","27620","0.0-2.0-0.0-1.3","oyhs","auditory","true"
"416.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","28544","0.0-2.0-0.0-1.4","oyhs","auditory","true"
"352.2000000178814","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","13","29413","0.0-2.0-0.0-1.5","oyhs","auditory","true"
"379","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","30303","0.0-2.0-0.0-1.6","oyhs","auditory","true"
"447.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","31257","0.0-2.0-0.0-1.7","oyhs","auditory","true"
"241.90000000596046","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","19","32015","0.0-2.0-0.0-1.8","oyhs","auditory","false"
"459.10000002384186","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","21","32978","0.0-2.0-0.0-1.9","oyhs","auditory","true"
"626.5999999940395","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","34107","0.0-2.0-0.0-1.10","oyhs","auditory","true"
"581.6000000238419","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","35197","0.0-2.0-0.0-1.11","oyhs","auditory","true"
"516","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","36228","0.0-2.0-0.0-1.12","oyhs","auditory","true"
"441.09999999403954","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","29","37171","0.0-2.0-0.0-1.13","oyhs","auditory","true"
"561.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","38239","0.0-2.0-0.0-1.14","oyhs","auditory","true"
"324.40000000596046","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","33","39070","0.0-2.0-0.0-1.15","oyhs","auditory","true"
"583.9000000059605","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","36","46210","0.0-2.0-0.1-1.16","oyhs","auditory","true"
"353.59999999403954","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","47071","0.0-2.0-0.1-1.17","oyhs","auditory","true"
"267.40000000596046","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","47852","0.0-2.0-0.1-1.18","oyhs","auditory","true"
"335.09999999403954","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","42","48693","0.0-2.0-0.1-1.19","oyhs","auditory","true"
"234.10000002384186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","49436","0.0-2.0-0.1-1.20","oyhs","auditory","true"
"306.80000001192093","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","50254","0.0-2.0-0.1-1.21","oyhs","auditory","false"
"478.59999999403954","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","51244","0.0-2.0-0.1-1.22","oyhs","auditory","true"
"423.90000000596046","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","52183","0.0-2.0-0.1-1.23","oyhs","auditory","true"
"381.30000001192093","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","53073","0.0-2.0-0.1-1.24","oyhs","auditory","true"
"354.7999999821186","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","54","53931","0.0-2.0-0.1-1.25","oyhs","auditory","false"
"485.40000000596046","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","54932","0.0-2.0-0.1-1.26","oyhs","auditory","true"
"372.7999999821186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","55815","0.0-2.0-0.1-1.27","oyhs","auditory","true"
"364.09999999403954","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","56691","0.0-2.0-0.1-1.28","oyhs","auditory","true"
"293","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","57495","0.0-2.0-0.1-1.29","oyhs","auditory","true"
"381.09999999403954","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","64","58387","0.0-2.0-0.1-1.30","oyhs","auditory","true"
"484.7000000178814","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","66","59377","0.0-2.0-0.1-1.31","oyhs","auditory","true"
