"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"721.5999999940395","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","55039","0.0-2.0-0.0-1.0","v12h","auditory","true"
"509.29999999701977","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","56053","0.0-2.0-0.0-1.1","v12h","auditory","true"
"497.70000000298023","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","7","57055","0.0-2.0-0.0-1.2","v12h","auditory","true"
"493.79999999701977","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","58055","0.0-2.0-0.0-1.3","v12h","auditory","true"
"428.19999998807907","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","58989","0.0-2.0-0.0-1.4","v12h","auditory","true"
"676.2000000029802","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","60171","0.0-2.0-0.0-1.5","v12h","auditory","true"
"651.3999999910593","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","15","61329","0.0-2.0-0.0-1.6","v12h","auditory","true"
"418","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","62250","0.0-2.0-0.0-1.7","v12h","auditory","true"
"432.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","19","63188","0.0-2.0-0.0-1.8","v12h","auditory","true"
"396.79999999701977","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","64090","0.0-2.0-0.0-1.9","v12h","auditory","true"
"468.20000000298023","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","65061","0.0-2.0-0.0-1.10","v12h","auditory","true"
"709.7999999970198","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","25","66277","0.0-2.0-0.0-1.11","v12h","auditory","true"
"520.7000000029802","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","67302","0.0-2.0-0.0-1.12","v12h","auditory","true"
"547","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","29","68355","0.0-2.0-0.0-1.13","v12h","auditory","true"
"443.29999999701977","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","31","69299","0.0-2.0-0.0-1.14","v12h","auditory","true"
"432.20000000298023","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","70233","0.0-2.0-0.0-1.15","v12h","auditory","true"
"611.6000000089407","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","76058","0.0-2.0-0.1-1.16","v12h","auditory","true"
"560.7999999970198","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","77121","0.0-2.0-0.1-1.17","v12h","auditory","true"
"529","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","40","78153","0.0-2.0-0.1-1.18","v12h","auditory","true"
"434.20000000298023","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","79090","0.0-2.0-0.1-1.19","v12h","auditory","true"
"559.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","80152","0.0-2.0-0.1-1.20","v12h","auditory","true"
"474.09999999403954","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","81128","0.0-2.0-0.1-1.21","v12h","auditory","true"
"624.6999999880791","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","82257","0.0-2.0-0.1-1.22","v12h","auditory","false"
"425.59999999403954","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","83188","0.0-2.0-0.1-1.23","v12h","auditory","true"
"418.40000000596046","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","84113","0.0-2.0-0.1-1.24","v12h","auditory","true"
"365.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","84983","0.0-2.0-0.1-1.25","v12h","auditory","true"
"319.1000000089407","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","85808","0.0-2.0-0.1-1.26","v12h","auditory","true"
"336.29999999701977","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","86650","0.0-2.0-0.1-1.27","v12h","auditory","true"
"324.3999999910593","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","87478","0.0-2.0-0.1-1.28","v12h","auditory","true"
"331.3999999910593","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","88311","0.0-2.0-0.1-1.29","v12h","auditory","true"
"438.3999999910593","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","64","89251","0.0-2.0-0.1-1.30","v12h","auditory","false"
"567.7000000029802","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","90320","0.0-2.0-0.1-1.31","v12h","auditory","true"
