"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"2453","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","3","78622","0.0-2.0-0.0-1.0","ybt7","auditory","true"
"642","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","5","79765","0.0-2.0-0.0-1.1","ybt7","auditory","true"
"296","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","7","80565","0.0-2.0-0.0-1.2","ybt7","auditory","false"
"3187","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","84254","0.0-2.0-0.0-1.3","ybt7","auditory","true"
"687","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","85445","0.0-2.0-0.0-1.4","ybt7","auditory","true"
"606","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","86553","0.0-2.0-0.0-1.5","ybt7","auditory","true"
"490","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","87545","0.0-2.0-0.0-1.6","ybt7","auditory","true"
"889","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","88935","0.0-2.0-0.0-1.7","ybt7","auditory","true"
"480","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","19","89917","0.0-2.0-0.0-1.8","ybt7","auditory","true"
"766","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","91183","0.0-2.0-0.0-1.9","ybt7","auditory","true"
"511","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","23","92194","0.0-2.0-0.0-1.10","ybt7","auditory","true"
"491","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","93186","0.0-2.0-0.0-1.11","ybt7","auditory","true"
"457","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","94146","0.0-2.0-0.0-1.12","ybt7","auditory","true"
"534","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","29","95182","0.0-2.0-0.0-1.13","ybt7","auditory","true"
"518","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","96200","0.0-2.0-0.0-1.14","ybt7","auditory","true"
"786","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","97487","0.0-2.0-0.0-1.15","ybt7","auditory","true"
"476","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","109859","0.0-2.0-0.1-1.16","ybt7","auditory","true"
"664","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","111025","0.0-2.0-0.1-1.17","ybt7","auditory","true"
"617","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","112145","0.0-2.0-0.1-1.18","ybt7","auditory","true"
"583","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","42","113228","0.0-2.0-0.1-1.19","ybt7","auditory","true"
"556","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","114285","0.0-2.0-0.1-1.20","ybt7","auditory","true"
"553","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","115339","0.0-2.0-0.1-1.21","ybt7","auditory","true"
"445","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","48","116286","0.0-2.0-0.1-1.22","ybt7","auditory","true"
"416","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","117205","0.0-2.0-0.1-1.23","ybt7","auditory","true"
"321","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","118028","0.0-2.0-0.1-1.24","ybt7","auditory","true"
"477","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","119006","0.0-2.0-0.1-1.25","ybt7","auditory","true"
"710","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","120216","0.0-2.0-0.1-1.26","ybt7","auditory","true"
"469","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","58","121187","0.0-2.0-0.1-1.27","ybt7","auditory","true"
"434","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","60","122122","0.0-2.0-0.1-1.28","ybt7","auditory","true"
"522","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","123145","0.0-2.0-0.1-1.29","ybt7","auditory","true"
"524","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","124170","0.0-2.0-0.1-1.30","ybt7","auditory","true"
"376","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","66","125048","0.0-2.0-0.1-1.31","ybt7","auditory","true"
