rt,stimulus,key_press,part,color,size,pitch,congruency,trial_type,trial_index,time_elapsed,internal_node_id,subject,version,accuracy
18001,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,3,55534,0.0-2.0-0.0-1.0,zl80,auditory,false
1049.09999999404,sounds/2420Hz100ms.wav,83,test,grey,large,high,i,audio-keyboard-response,5,57095,0.0-2.0-0.0-1.1,zl80,auditory,true
602.20000000298,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,7,58208,0.0-2.0-0.0-1.2,zl80,auditory,true
617.70000000298,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,9,59338,0.0-2.0-0.0-1.3,zl80,auditory,true
404.29999999702,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,11,60252,0.0-2.0-0.0-1.4,zl80,auditory,true
371,sounds/440Hz100ms.wav,76,test,grey,small,low,i,audio-keyboard-response,13,61133,0.0-2.0-0.0-1.5,zl80,auditory,true
431.5,sounds/2420Hz100ms.wav,83,test,grey,large,high,i,audio-keyboard-response,15,62079,0.0-2.0-0.0-1.6,zl80,auditory,true
327.60000000149,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,17,62924,0.0-2.0-0.0-1.7,zl80,auditory,true
293.79999999702,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,19,63734,0.0-2.0-0.0-1.8,zl80,auditory,true
349,sounds/440Hz100ms.wav,76,test,grey,small,low,i,audio-keyboard-response,21,64598,0.0-2.0-0.0-1.9,zl80,auditory,true
287.59999999404,sounds/2420Hz100ms.wav,76,test,grey,large,high,i,audio-keyboard-response,23,65401,0.0-2.0-0.0-1.10,zl80,auditory,false
675.40000000596,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,25,66582,0.0-2.0-0.0-1.11,zl80,auditory,true
408.20000000298,sounds/2420Hz100ms.wav,83,test,grey,large,high,i,audio-keyboard-response,27,67507,0.0-2.0-0.0-1.12,zl80,auditory,true
285.89999999851,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,29,68297,0.0-2.0-0.0-1.13,zl80,auditory,true
451,sounds/440Hz100ms.wav,76,test,grey,small,low,i,audio-keyboard-response,31,69251,0.0-2.0-0.0-1.14,zl80,auditory,true
436.19999999553,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,33,70198,0.0-2.0-0.0-1.15,zl80,auditory,true
442.89999999851,sounds/440Hz100ms.wav,76,test,grey,small,low,i,audio-keyboard-response,36,72982,0.0-2.0-0.1-1.16,zl80,auditory,true
277.89999999851,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,38,73762,0.0-2.0-0.1-1.17,zl80,auditory,true
473.19999999553,sounds/2420Hz100ms.wav,83,test,grey,large,high,i,audio-keyboard-response,40,74751,0.0-2.0-0.1-1.18,zl80,auditory,true
418,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,42,75677,0.0-2.0-0.1-1.19,zl80,auditory,true
312.19999999553,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,44,76496,0.0-2.0-0.1-1.20,zl80,auditory,true
260.10000000149,sounds/2420Hz100ms.wav,83,test,grey,large,high,i,audio-keyboard-response,46,77270,0.0-2.0-0.1-1.21,zl80,auditory,true
245.5,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,48,78018,0.0-2.0-0.1-1.22,zl80,auditory,false
427.10000000149,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,50,78963,0.0-2.0-0.1-1.23,zl80,auditory,true
512.59999999404,sounds/440Hz100ms.wav,83,test,grey,large,low,c,audio-keyboard-response,52,79991,0.0-2.0-0.1-1.24,zl80,auditory,false
544.20000000298,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,54,81049,0.0-2.0-0.1-1.25,zl80,auditory,true
501.19999999553,sounds/2420Hz100ms.wav,83,test,grey,large,high,i,audio-keyboard-response,56,82066,0.0-2.0-0.1-1.26,zl80,auditory,true
428,sounds/440Hz100ms.wav,76,test,grey,small,low,i,audio-keyboard-response,58,83002,0.0-2.0-0.1-1.27,zl80,auditory,true
387.10000000149,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,60,83906,0.0-2.0-0.1-1.28,zl80,auditory,true
307.10000000149,sounds/440Hz100ms.wav,76,test,grey,small,low,i,audio-keyboard-response,62,84730,0.0-2.0-0.1-1.29,zl80,auditory,true
413.10000000149,sounds/2420Hz100ms.wav,83,test,grey,large,high,i,audio-keyboard-response,64,85660,0.0-2.0-0.1-1.30,zl80,auditory,true
308.09999999404,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,66,86474,0.0-2.0-0.1-1.31,zl80,auditory,true
