"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"447.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","45919","0.0-2.0-0.0-1.0","zx4l","auditory","true"
"368.2000000178814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","46791","0.0-2.0-0.0-1.1","zx4l","auditory","true"
"316.7000000178814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","47613","0.0-2.0-0.0-1.2","zx4l","auditory","true"
"431.2000000178814","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","9","48547","0.0-2.0-0.0-1.3","zx4l","auditory","true"
"450.90000000596046","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","49500","0.0-2.0-0.0-1.4","zx4l","auditory","true"
"273.69999998807907","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","50278","0.0-2.0-0.0-1.5","zx4l","auditory","true"
"940.0999999940395","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","51725","0.0-2.0-0.0-1.6","zx4l","auditory","true"
"426.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","52654","0.0-2.0-0.0-1.7","zx4l","auditory","true"
"616.4000000059605","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","53775","0.0-2.0-0.0-1.8","zx4l","auditory","true"
"775.5999999940395","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","55056","0.0-2.0-0.0-1.9","zx4l","auditory","true"
"504.59999999403954","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","23","56063","0.0-2.0-0.0-1.10","zx4l","auditory","true"
"404.89999997615814","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","25","56970","0.0-2.0-0.0-1.11","zx4l","auditory","true"
"367.19999998807907","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","57844","0.0-2.0-0.0-1.12","zx4l","auditory","true"
"345.80000001192093","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","29","58692","0.0-2.0-0.0-1.13","zx4l","auditory","true"
"397.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","31","59596","0.0-2.0-0.0-1.14","zx4l","auditory","true"
"383.7000000178814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","60482","0.0-2.0-0.0-1.15","zx4l","auditory","true"
"465.10000002384186","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","36","65372","0.0-2.0-0.1-1.16","zx4l","auditory","false"
"502.80000001192093","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","66376","0.0-2.0-0.1-1.17","zx4l","auditory","true"
"344.40000000596046","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","67224","0.0-2.0-0.1-1.18","zx4l","auditory","true"
"364.30000001192093","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","42","68094","0.0-2.0-0.1-1.19","zx4l","auditory","true"
"301.39999997615814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","68902","0.0-2.0-0.1-1.20","zx4l","auditory","true"
"271.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","46","69675","0.0-2.0-0.1-1.21","zx4l","auditory","true"
"335","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","70514","0.0-2.0-0.1-1.22","zx4l","auditory","true"
"350.09999999403954","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","71369","0.0-2.0-0.1-1.23","zx4l","auditory","true"
"337.40000000596046","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","52","72213","0.0-2.0-0.1-1.24","zx4l","auditory","true"
"320.7000000178814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","73039","0.0-2.0-0.1-1.25","zx4l","auditory","true"
"360.7000000178814","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","56","73906","0.0-2.0-0.1-1.26","zx4l","auditory","true"
"334.7000000178814","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","58","74743","0.0-2.0-0.1-1.27","zx4l","auditory","false"
"445.7000000178814","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","60","75696","0.0-2.0-0.1-1.28","zx4l","auditory","false"
"759","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","76961","0.0-2.0-0.1-1.29","zx4l","auditory","true"
"513.7000000178814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","77981","0.0-2.0-0.1-1.30","zx4l","auditory","true"
"499.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","66","78982","0.0-2.0-0.1-1.31","zx4l","auditory","true"
