"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"676","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","13965","0.0-2.0-0.0-1.0","5ctq","auditory","true"
"427","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","14896","0.0-2.0-0.0-1.1","5ctq","auditory","true"
"609.9999999999964","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","16010","0.0-2.0-0.0-1.2","5ctq","auditory","true"
"478","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","16992","0.0-2.0-0.0-1.3","5ctq","auditory","true"
"466","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","17962","0.0-2.0-0.0-1.4","5ctq","auditory","true"
"525","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","18991","0.0-2.0-0.0-1.5","5ctq","auditory","true"
"425.99999999999636","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","15","19922","0.0-2.0-0.0-1.6","5ctq","auditory","true"
"503","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","20928","0.0-2.0-0.0-1.7","5ctq","auditory","true"
"437","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","21870","0.0-2.0-0.0-1.8","5ctq","auditory","true"
"416.99999999999636","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","21","22791","0.0-2.0-0.0-1.9","5ctq","auditory","true"
"609","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","23904","0.0-2.0-0.0-1.10","5ctq","auditory","true"
"474","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","24881","0.0-2.0-0.0-1.11","5ctq","auditory","true"
"367","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","25752","0.0-2.0-0.0-1.12","5ctq","auditory","true"
"421","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","26677","0.0-2.0-0.0-1.13","5ctq","auditory","true"
"385","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","31","27566","0.0-2.0-0.0-1.14","5ctq","auditory","true"
"531","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","28601","0.0-2.0-0.0-1.15","5ctq","auditory","true"
"438","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","33156","0.0-2.0-0.1-1.16","5ctq","auditory","true"
"431","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","34091","0.0-2.0-0.1-1.17","5ctq","auditory","true"
"464","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","35059","0.0-2.0-0.1-1.18","5ctq","auditory","true"
"422","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","35985","0.0-2.0-0.1-1.19","5ctq","auditory","true"
"348.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","36837","0.0-2.0-0.1-1.20","5ctq","auditory","true"
"394","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","37735","0.0-2.0-0.1-1.21","5ctq","auditory","true"
"410","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","48","38649","0.0-2.0-0.1-1.22","5ctq","auditory","true"
"434.0000000000073","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","50","39587","0.0-2.0-0.1-1.23","5ctq","auditory","true"
"442","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","40533","0.0-2.0-0.1-1.24","5ctq","auditory","true"
"439","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","41477","0.0-2.0-0.1-1.25","5ctq","auditory","true"
"418","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","42398","0.0-2.0-0.1-1.26","5ctq","auditory","true"
"379.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","43281","0.0-2.0-0.1-1.27","5ctq","auditory","true"
"339","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","60","44125","0.0-2.0-0.1-1.28","5ctq","auditory","true"
"338.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","44968","0.0-2.0-0.1-1.29","5ctq","auditory","true"
"451","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","45922","0.0-2.0-0.1-1.30","5ctq","auditory","true"
"437","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","46863","0.0-2.0-0.1-1.31","5ctq","auditory","true"
