"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"555.9999999999964","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","3","32468","0.0-2.0-0.0-1.0","5la2","auditory","true"
"397","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","33371","0.0-2.0-0.0-1.1","5la2","auditory","true"
"404","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","34280","0.0-2.0-0.0-1.2","5la2","auditory","true"
"397.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","35183","0.0-2.0-0.0-1.3","5la2","auditory","true"
"384","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","36073","0.0-2.0-0.0-1.4","5la2","auditory","true"
"357.0000000000073","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","36935","0.0-2.0-0.0-1.5","5la2","auditory","true"
"396","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","15","37835","0.0-2.0-0.0-1.6","5la2","auditory","false"
"484","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","38824","0.0-2.0-0.0-1.7","5la2","auditory","true"
"442","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","39771","0.0-2.0-0.0-1.8","5la2","auditory","true"
"300","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","40577","0.0-2.0-0.0-1.9","5la2","auditory","true"
"386","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","41468","0.0-2.0-0.0-1.10","5la2","auditory","true"
"425","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","42398","0.0-2.0-0.0-1.11","5la2","auditory","true"
"432","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","43336","0.0-2.0-0.0-1.12","5la2","auditory","true"
"453","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","44293","0.0-2.0-0.0-1.13","5la2","auditory","true"
"681.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","45481","0.0-2.0-0.0-1.14","5la2","auditory","true"
"435.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","46421","0.0-2.0-0.0-1.15","5la2","auditory","true"
"598.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","50237","0.0-2.0-0.1-1.16","5la2","auditory","true"
"335","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","51077","0.0-2.0-0.1-1.17","5la2","auditory","true"
"412.0000000000073","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","51993","0.0-2.0-0.1-1.18","5la2","auditory","true"
"442","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","52940","0.0-2.0-0.1-1.19","5la2","auditory","true"
"407.9999999999927","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","53852","0.0-2.0-0.1-1.20","5la2","auditory","true"
"399.0000000000073","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","54756","0.0-2.0-0.1-1.21","5la2","auditory","true"
"364","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","48","55626","0.0-2.0-0.1-1.22","5la2","auditory","true"
"378","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","56510","0.0-2.0-0.1-1.23","5la2","auditory","true"
"333","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","57347","0.0-2.0-0.1-1.24","5la2","auditory","true"
"284","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","54","58137","0.0-2.0-0.1-1.25","5la2","auditory","true"
"309","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","58950","0.0-2.0-0.1-1.26","5la2","auditory","false"
"407.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","59862","0.0-2.0-0.1-1.27","5la2","auditory","true"
"438","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","60805","0.0-2.0-0.1-1.28","5la2","auditory","true"
"422.9999999999927","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","61733","0.0-2.0-0.1-1.29","5la2","auditory","true"
"308","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","62546","0.0-2.0-0.1-1.30","5la2","auditory","true"
"430","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","63479","0.0-2.0-0.1-1.31","5la2","auditory","true"
