"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"372.89999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","6617","0.0-2.0-0.0-1.0","5or8","auditory","true"
"391.2000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","7520","0.0-2.0-0.0-1.1","5or8","auditory","true"
"401.7999999523163","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","8433","0.0-2.0-0.0-1.2","5or8","auditory","true"
"366.89999997615814","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","9321","0.0-2.0-0.0-1.3","5or8","auditory","true"
"420.6999999284744","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","10256","0.0-2.0-0.0-1.4","5or8","auditory","true"
"387.2000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","11160","0.0-2.0-0.0-1.5","5or8","auditory","true"
"439.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","12105","0.0-2.0-0.0-1.6","5or8","auditory","true"
"413.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","17","13033","0.0-2.0-0.0-1.7","5or8","auditory","true"
"420.1999999284744","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","13970","0.0-2.0-0.0-1.8","5or8","auditory","true"
"419.2999999523163","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","21","14904","0.0-2.0-0.0-1.9","5or8","auditory","true"
"427.89999997615814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","15849","0.0-2.0-0.0-1.10","5or8","auditory","true"
"368.7999999523163","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","16729","0.0-2.0-0.0-1.11","5or8","auditory","true"
"399.6999999284744","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","17641","0.0-2.0-0.0-1.12","5or8","auditory","true"
"396.7000000476837","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","29","18552","0.0-2.0-0.0-1.13","5or8","auditory","true"
"378.09999990463257","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","31","19441","0.0-2.0-0.0-1.14","5or8","auditory","true"
"402.39999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","20353","0.0-2.0-0.0-1.15","5or8","auditory","true"
"404","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","26586","0.0-2.0-0.1-1.16","5or8","auditory","false"
"438.7000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","27534","0.0-2.0-0.1-1.17","5or8","auditory","true"
"445.39999997615814","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","28491","0.0-2.0-0.1-1.18","5or8","auditory","true"
"429.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","29429","0.0-2.0-0.1-1.19","5or8","auditory","true"
"393.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","30339","0.0-2.0-0.1-1.20","5or8","auditory","true"
"447.2999999523163","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","31297","0.0-2.0-0.1-1.21","5or8","auditory","true"
"372.2000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","32185","0.0-2.0-0.1-1.22","5or8","auditory","true"
"369.40000009536743","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","50","33066","0.0-2.0-0.1-1.23","5or8","auditory","true"
"460.40000009536743","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","34042","0.0-2.0-0.1-1.24","5or8","auditory","true"
"449.7999999523163","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","54","35002","0.0-2.0-0.1-1.25","5or8","auditory","true"
"399.89999997615814","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","56","35905","0.0-2.0-0.1-1.26","5or8","auditory","true"
"421.7000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","36842","0.0-2.0-0.1-1.27","5or8","auditory","true"
"519.1000000238419","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","60","37873","0.0-2.0-0.1-1.28","5or8","auditory","true"
"400.1999999284744","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","38778","0.0-2.0-0.1-1.29","5or8","auditory","true"
"336.89999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","39633","0.0-2.0-0.1-1.30","5or8","auditory","true"
"350.8000000715256","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","40505","0.0-2.0-0.1-1.31","5or8","auditory","true"
