"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1036.300000011921","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","3","72514","0.0-2.0-0.0-1.0","65ck","auditory","true"
"575.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","73606","0.0-2.0-0.0-1.1","65ck","auditory","true"
"661.7000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","74779","0.0-2.0-0.0-1.2","65ck","auditory","true"
"534.1999999880791","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","75820","0.0-2.0-0.0-1.3","65ck","auditory","true"
"583.4000000357628","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","76910","0.0-2.0-0.0-1.4","65ck","auditory","true"
"432.7000000476837","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","77849","0.0-2.0-0.0-1.5","65ck","auditory","true"
"593.4000000357628","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","78956","0.0-2.0-0.0-1.6","65ck","auditory","true"
"488.10000002384186","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","79960","0.0-2.0-0.0-1.7","65ck","auditory","true"
"529.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","81001","0.0-2.0-0.0-1.8","65ck","auditory","true"
"475.0999999642372","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","81989","0.0-2.0-0.0-1.9","65ck","auditory","true"
"542.1999999880791","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","83041","0.0-2.0-0.0-1.10","65ck","auditory","true"
"562.8999999761581","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","84107","0.0-2.0-0.0-1.11","65ck","auditory","true"
"454.89999997615814","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","85068","0.0-2.0-0.0-1.12","65ck","auditory","true"
"445.30000001192093","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","29","86020","0.0-2.0-0.0-1.13","65ck","auditory","true"
"493","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","87015","0.0-2.0-0.0-1.14","65ck","auditory","true"
"444.39999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","87965","0.0-2.0-0.0-1.15","65ck","auditory","true"
"463.19999998807907","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","109948","0.0-2.0-0.1-1.16","65ck","auditory","true"
"467.5999999642372","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","110921","0.0-2.0-0.1-1.17","65ck","auditory","true"
"457.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","40","111894","0.0-2.0-0.1-1.18","65ck","auditory","true"
"482.60000002384186","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","112882","0.0-2.0-0.1-1.19","65ck","auditory","true"
"486.2999999523163","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","113873","0.0-2.0-0.1-1.20","65ck","auditory","true"
"391.30000001192093","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","114774","0.0-2.0-0.1-1.21","65ck","auditory","true"
"447.69999998807907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","48","115732","0.0-2.0-0.1-1.22","65ck","auditory","true"
"463.2000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","116706","0.0-2.0-0.1-1.23","65ck","auditory","true"
"536.1000000238419","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","117746","0.0-2.0-0.1-1.24","65ck","auditory","true"
"444.2999999523163","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","118691","0.0-2.0-0.1-1.25","65ck","auditory","true"
"454.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","56","119648","0.0-2.0-0.1-1.26","65ck","auditory","true"
"371.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","120529","0.0-2.0-0.1-1.27","65ck","auditory","true"
"404.39999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","121450","0.0-2.0-0.1-1.28","65ck","auditory","true"
"464.89999997615814","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","122425","0.0-2.0-0.1-1.29","65ck","auditory","true"
"441","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","123376","0.0-2.0-0.1-1.30","65ck","auditory","true"
"484.2999999523163","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","124371","0.0-2.0-0.1-1.31","65ck","auditory","true"
