"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"808.8000001907349","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","3","16758","0.0-2.0-0.0-1.0","6kdo","auditory","false"
"1611.5999999046326","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","18890","0.0-2.0-0.0-1.1","6kdo","auditory","true"
"408.09999990463257","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","19822","0.0-2.0-0.0-1.2","6kdo","auditory","true"
"930","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","21273","0.0-2.0-0.0-1.3","6kdo","auditory","true"
"501.7000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","22290","0.0-2.0-0.0-1.4","6kdo","auditory","true"
"630.2999999523163","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","23438","0.0-2.0-0.0-1.5","6kdo","auditory","true"
"402.10000014305115","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","15","24345","0.0-2.0-0.0-1.6","6kdo","auditory","true"
"512.3000001907349","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","25365","0.0-2.0-0.0-1.7","6kdo","auditory","true"
"415.7999999523163","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","26293","0.0-2.0-0.0-1.8","6kdo","auditory","true"
"495.60000014305115","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","27308","0.0-2.0-0.0-1.9","6kdo","auditory","true"
"540.2999999523163","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","28353","0.0-2.0-0.0-1.10","6kdo","auditory","true"
"412.60000014305115","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","29271","0.0-2.0-0.0-1.11","6kdo","auditory","true"
"601.7000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","30394","0.0-2.0-0.0-1.12","6kdo","auditory","true"
"355.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","29","31258","0.0-2.0-0.0-1.13","6kdo","auditory","true"
"379.2999999523163","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","31","32152","0.0-2.0-0.0-1.14","6kdo","auditory","true"
"413.09999990463257","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","33086","0.0-2.0-0.0-1.15","6kdo","auditory","true"
"647.6000001430511","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","36","37843","0.0-2.0-0.1-1.16","6kdo","auditory","true"
"337.60000014305115","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","38696","0.0-2.0-0.1-1.17","6kdo","auditory","true"
"461.2999999523163","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","39675","0.0-2.0-0.1-1.18","6kdo","auditory","true"
"339.09999990463257","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","40519","0.0-2.0-0.1-1.19","6kdo","auditory","true"
"412","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","41436","0.0-2.0-0.1-1.20","6kdo","auditory","true"
"710.8999998569489","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","42655","0.0-2.0-0.1-1.21","6kdo","auditory","true"
"485.59999990463257","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","43649","0.0-2.0-0.1-1.22","6kdo","auditory","true"
"421.90000009536743","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","44579","0.0-2.0-0.1-1.23","6kdo","auditory","true"
"557.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","45651","0.0-2.0-0.1-1.24","6kdo","auditory","true"
"669.2000000476837","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","46833","0.0-2.0-0.1-1.25","6kdo","auditory","false"
"463.60000014305115","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","47808","0.0-2.0-0.1-1.26","6kdo","auditory","true"
"417.7999999523163","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","48743","0.0-2.0-0.1-1.27","6kdo","auditory","true"
"373.90000009536743","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","60","49629","0.0-2.0-0.1-1.28","6kdo","auditory","true"
"361","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","50506","0.0-2.0-0.1-1.29","6kdo","auditory","true"
"403.7999999523163","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","51428","0.0-2.0-0.1-1.30","6kdo","auditory","true"
"432.09999990463257","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","52381","0.0-2.0-0.1-1.31","6kdo","auditory","true"
