"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"480.79999999981374","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","24500","0.0-2.0-0.0-1.0","7krm","auditory","true"
"382.70000000018626","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","25388","0.0-2.0-0.0-1.1","7krm","auditory","true"
"353.30000000074506","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","26252","0.0-2.0-0.0-1.2","7krm","auditory","true"
"387.70000000018626","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","27145","0.0-2.0-0.0-1.3","7krm","auditory","true"
"623.2999999998137","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","28276","0.0-2.0-0.0-1.4","7krm","auditory","true"
"637.2000000001863","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","29428","0.0-2.0-0.0-1.5","7krm","auditory","true"
"441.40000000037253","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","30383","0.0-2.0-0.0-1.6","7krm","auditory","true"
"577.1999999992549","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","17","31468","0.0-2.0-0.0-1.7","7krm","auditory","true"
"403.20000000018626","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","32377","0.0-2.0-0.0-1.8","7krm","auditory","true"
"541.7000000001863","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","33438","0.0-2.0-0.0-1.9","7krm","auditory","true"
"411.70000000018626","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","34353","0.0-2.0-0.0-1.10","7krm","auditory","true"
"438.30000000074506","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","35308","0.0-2.0-0.0-1.11","7krm","auditory","true"
"533.7999999998137","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","36352","0.0-2.0-0.0-1.12","7krm","auditory","true"
"935.0999999996275","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","37799","0.0-2.0-0.0-1.13","7krm","auditory","true"
"331.09999999962747","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","38646","0.0-2.0-0.0-1.14","7krm","auditory","true"
"331","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","39494","0.0-2.0-0.0-1.15","7krm","auditory","true"
"418.09999999962747","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","42808","0.0-2.0-0.1-1.16","7krm","auditory","true"
"333.59999999962747","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","43656","0.0-2.0-0.1-1.17","7krm","auditory","true"
"369.79999999981374","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","40","44535","0.0-2.0-0.1-1.18","7krm","auditory","true"
"369.09999999962747","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","45408","0.0-2.0-0.1-1.19","7krm","auditory","true"
"316.69999999925494","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","46237","0.0-2.0-0.1-1.20","7krm","auditory","true"
"439","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","47181","0.0-2.0-0.1-1.21","7krm","auditory","true"
"2197.2999999998137","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","49899","0.0-2.0-0.1-1.22","7krm","auditory","true"
"449.20000000018626","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","50860","0.0-2.0-0.1-1.23","7krm","auditory","true"
"555","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","51926","0.0-2.0-0.1-1.24","7krm","auditory","true"
"442.19999999925494","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","54","52890","0.0-2.0-0.1-1.25","7krm","auditory","true"
"362.59999999962747","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","53768","0.0-2.0-0.1-1.26","7krm","auditory","true"
"454.70000000018626","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","54738","0.0-2.0-0.1-1.27","7krm","auditory","true"
"348.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","55592","0.0-2.0-0.1-1.28","7krm","auditory","true"
"398.1000000005588","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","56502","0.0-2.0-0.1-1.29","7krm","auditory","true"
"400.30000000074506","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","57409","0.0-2.0-0.1-1.30","7krm","auditory","true"
"463.80000000074506","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","58384","0.0-2.0-0.1-1.31","7krm","auditory","true"
