"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1493.2999999970198","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","44861","0.0-2.0-0.0-1.0","93aw","auditory","false"
"1123.2999999970198","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","46502","0.0-2.0-0.0-1.1","93aw","auditory","true"
"977","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","47985","0.0-2.0-0.0-1.2","93aw","auditory","true"
"561.8999999910593","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","49059","0.0-2.0-0.0-1.3","93aw","auditory","true"
"360.40000000596046","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","49938","0.0-2.0-0.0-1.4","93aw","auditory","true"
"299.40000000596046","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","50758","0.0-2.0-0.0-1.5","93aw","auditory","true"
"401.09999999403954","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","15","51667","0.0-2.0-0.0-1.6","93aw","auditory","true"
"366","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","52553","0.0-2.0-0.0-1.7","93aw","auditory","true"
"255.70000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","53333","0.0-2.0-0.0-1.8","93aw","auditory","true"
"261.69999998807907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","54120","0.0-2.0-0.0-1.9","93aw","auditory","true"
"643.2999999970198","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","55281","0.0-2.0-0.0-1.10","93aw","auditory","true"
"546.9000000059605","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","56335","0.0-2.0-0.0-1.11","93aw","auditory","true"
"344.20000000298023","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","57202","0.0-2.0-0.0-1.12","93aw","auditory","true"
"429","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","29","58147","0.0-2.0-0.0-1.13","93aw","auditory","true"
"370.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","59038","0.0-2.0-0.0-1.14","93aw","auditory","true"
"345.79999999701977","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","59903","0.0-2.0-0.0-1.15","93aw","auditory","true"
"425.8999999910593","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","65438","0.0-2.0-0.1-1.16","93aw","auditory","true"
"385.09999999403954","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","66342","0.0-2.0-0.1-1.17","93aw","auditory","true"
"425","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","67282","0.0-2.0-0.1-1.18","93aw","auditory","true"
"415.6000000089407","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","68214","0.0-2.0-0.1-1.19","93aw","auditory","true"
"412.30000001192093","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","69150","0.0-2.0-0.1-1.20","93aw","auditory","true"
"378.70000000298023","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","70046","0.0-2.0-0.1-1.21","93aw","auditory","true"
"401.20000000298023","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","70959","0.0-2.0-0.1-1.22","93aw","auditory","true"
"377.80000001192093","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","71845","0.0-2.0-0.1-1.23","93aw","auditory","true"
"387.1000000089407","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","52","72744","0.0-2.0-0.1-1.24","93aw","auditory","true"
"308.70000000298023","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","73576","0.0-2.0-0.1-1.25","93aw","auditory","true"
"331","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","74418","0.0-2.0-0.1-1.26","93aw","auditory","true"
"331.20000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","75269","0.0-2.0-0.1-1.27","93aw","auditory","true"
"289.59999999403954","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","76067","0.0-2.0-0.1-1.28","93aw","auditory","true"
"306","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","76893","0.0-2.0-0.1-1.29","93aw","auditory","true"
"232.5","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","64","77640","0.0-2.0-0.1-1.30","93aw","auditory","false"
"498","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","66","78645","0.0-2.0-0.1-1.31","93aw","auditory","true"
