"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"626.1000000238419","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","3","23663","0.0-2.0-0.0-1.0","9xxk","auditory","true"
"689","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","24863","0.0-2.0-0.0-1.1","9xxk","auditory","true"
"666.4000000059605","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","26041","0.0-2.0-0.0-1.2","9xxk","auditory","true"
"465.89999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","27015","0.0-2.0-0.0-1.3","9xxk","auditory","true"
"420.80000001192093","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","27939","0.0-2.0-0.0-1.4","9xxk","auditory","true"
"347.2999999821186","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","28796","0.0-2.0-0.0-1.5","9xxk","auditory","true"
"485.40000000596046","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","29784","0.0-2.0-0.0-1.6","9xxk","auditory","true"
"494.80000001192093","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","30789","0.0-2.0-0.0-1.7","9xxk","auditory","true"
"557.5999999940395","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","31862","0.0-2.0-0.0-1.8","9xxk","auditory","true"
"437.19999998807907","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","32808","0.0-2.0-0.0-1.9","9xxk","auditory","true"
"381.30000001192093","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","23","33696","0.0-2.0-0.0-1.10","9xxk","auditory","true"
"512.6999999880791","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","34724","0.0-2.0-0.0-1.11","9xxk","auditory","true"
"655.2999999821186","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","35884","0.0-2.0-0.0-1.12","9xxk","auditory","true"
"474.39999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","36869","0.0-2.0-0.0-1.13","9xxk","auditory","true"
"445","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","31","37831","0.0-2.0-0.0-1.14","9xxk","auditory","true"
"496.80000001192093","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","38845","0.0-2.0-0.0-1.15","9xxk","auditory","true"
"447.19999998807907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","46637","0.0-2.0-0.1-1.16","9xxk","auditory","true"
"394.60000002384186","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","47547","0.0-2.0-0.1-1.17","9xxk","auditory","true"
"406.80000001192093","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","48457","0.0-2.0-0.1-1.18","9xxk","auditory","true"
"443.7999999821186","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","49410","0.0-2.0-0.1-1.19","9xxk","auditory","true"
"355","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","50282","0.0-2.0-0.1-1.20","9xxk","auditory","true"
"435.2000000178814","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","51230","0.0-2.0-0.1-1.21","9xxk","auditory","true"
"327.90000000596046","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","48","52066","0.0-2.0-0.1-1.22","9xxk","auditory","true"
"423.90000000596046","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","52992","0.0-2.0-0.1-1.23","9xxk","auditory","true"
"701.3000000119209","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","54208","0.0-2.0-0.1-1.24","9xxk","auditory","true"
"556.8999999761581","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","55280","0.0-2.0-0.1-1.25","9xxk","auditory","true"
"316.09999999403954","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","56110","0.0-2.0-0.1-1.26","9xxk","auditory","true"
"443.80000001192093","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","57068","0.0-2.0-0.1-1.27","9xxk","auditory","true"
"392.19999998807907","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","57974","0.0-2.0-0.1-1.28","9xxk","auditory","true"
"360.40000000596046","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","58837","0.0-2.0-0.1-1.29","9xxk","auditory","true"
"462.69999998807907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","59808","0.0-2.0-0.1-1.30","9xxk","auditory","true"
"403.2000000178814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","60727","0.0-2.0-0.1-1.31","9xxk","auditory","true"
