"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"597","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","3","20054","0.0-2.0-0.0-1.0","bdxk","auditory","false"
"836.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","21415","0.0-2.0-0.0-1.1","bdxk","auditory","true"
"623.8000000119209","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","22563","0.0-2.0-0.0-1.2","bdxk","auditory","true"
"502.19999998807907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","23581","0.0-2.0-0.0-1.3","bdxk","auditory","true"
"345.4000000357628","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","24444","0.0-2.0-0.0-1.4","bdxk","auditory","true"
"398.2999999523163","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","25357","0.0-2.0-0.0-1.5","bdxk","auditory","true"
"532.8000000119209","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","26412","0.0-2.0-0.0-1.6","bdxk","auditory","true"
"582.6999999880791","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","27503","0.0-2.0-0.0-1.7","bdxk","auditory","true"
"440.69999998807907","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","28456","0.0-2.0-0.0-1.8","bdxk","auditory","true"
"564.8999999761581","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","29544","0.0-2.0-0.0-1.9","bdxk","auditory","true"
"387.10000002384186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","30447","0.0-2.0-0.0-1.10","bdxk","auditory","true"
"484.69999998807907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","31454","0.0-2.0-0.0-1.11","bdxk","auditory","true"
"462.5999999642372","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","32432","0.0-2.0-0.0-1.12","bdxk","auditory","true"
"518","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","33458","0.0-2.0-0.0-1.13","bdxk","auditory","true"
"367.4000000357628","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","34346","0.0-2.0-0.0-1.14","bdxk","auditory","true"
"405.69999998807907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","33","35272","0.0-2.0-0.0-1.15","bdxk","auditory","true"
"509.5999999642372","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","36","40752","0.0-2.0-0.1-1.16","bdxk","auditory","true"
"470.69999998807907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","41734","0.0-2.0-0.1-1.17","bdxk","auditory","true"
"413.30000001192093","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","42655","0.0-2.0-0.1-1.18","bdxk","auditory","true"
"415.4000000357628","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","43577","0.0-2.0-0.1-1.19","bdxk","auditory","true"
"374.30000001192093","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","44456","0.0-2.0-0.1-1.20","bdxk","auditory","true"
"458.30000001192093","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","45420","0.0-2.0-0.1-1.21","bdxk","auditory","true"
"299.30000001192093","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","46225","0.0-2.0-0.1-1.22","bdxk","auditory","true"
"469.69999998807907","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","47212","0.0-2.0-0.1-1.23","bdxk","auditory","true"
"480.4000000357628","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","48207","0.0-2.0-0.1-1.24","bdxk","auditory","true"
"399.80000001192093","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","49121","0.0-2.0-0.1-1.25","bdxk","auditory","true"
"355.10000002384186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","49996","0.0-2.0-0.1-1.26","bdxk","auditory","true"
"324","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","58","50829","0.0-2.0-0.1-1.27","bdxk","auditory","false"
"400.19999998807907","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","60","51742","0.0-2.0-0.1-1.28","bdxk","auditory","false"
"632.3999999761581","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","52895","0.0-2.0-0.1-1.29","bdxk","auditory","true"
"449","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","53856","0.0-2.0-0.1-1.30","bdxk","auditory","true"
"565.6000000238419","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","54927","0.0-2.0-0.1-1.31","bdxk","auditory","true"
