"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"596.1999999880791","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","16252","0.0-2.0-0.0-1.0","chuo","auditory","true"
"1705.7000000029802","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","18463","0.0-2.0-0.0-1.1","chuo","auditory","true"
"603.0999999940395","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","19575","0.0-2.0-0.0-1.2","chuo","auditory","true"
"255.70000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","20343","0.0-2.0-0.0-1.3","chuo","auditory","true"
"686.7000000029802","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","21541","0.0-2.0-0.0-1.4","chuo","auditory","true"
"285.70000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","22338","0.0-2.0-0.0-1.5","chuo","auditory","true"
"252","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","23103","0.0-2.0-0.0-1.6","chuo","auditory","false"
"565.0999999940395","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","24184","0.0-2.0-0.0-1.7","chuo","auditory","true"
"471.90000000596046","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","25158","0.0-2.0-0.0-1.8","chuo","auditory","true"
"405.20000000298023","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","26075","0.0-2.0-0.0-1.9","chuo","auditory","true"
"488.79999999701977","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","27079","0.0-2.0-0.0-1.10","chuo","auditory","true"
"534.3999999910593","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","28121","0.0-2.0-0.0-1.11","chuo","auditory","true"
"369.3999999910593","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","29001","0.0-2.0-0.0-1.12","chuo","auditory","true"
"286.40000000596046","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","29","29801","0.0-2.0-0.0-1.13","chuo","auditory","false"
"443.6000000089407","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","30758","0.0-2.0-0.0-1.14","chuo","auditory","true"
"529","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","31793","0.0-2.0-0.0-1.15","chuo","auditory","true"
"571.0999999940395","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","35983","0.0-2.0-0.1-1.16","chuo","auditory","true"
"436.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","36930","0.0-2.0-0.1-1.17","chuo","auditory","true"
"480.09999999403954","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","37912","0.0-2.0-0.1-1.18","chuo","auditory","true"
"584.2999999970198","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","39001","0.0-2.0-0.1-1.19","chuo","auditory","true"
"457.29999999701977","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","39972","0.0-2.0-0.1-1.20","chuo","auditory","true"
"519.7000000029802","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","41000","0.0-2.0-0.1-1.21","chuo","auditory","true"
"490.80000001192093","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","42003","0.0-2.0-0.1-1.22","chuo","auditory","true"
"414.80000001192093","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","42927","0.0-2.0-0.1-1.23","chuo","auditory","true"
"352.20000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","43782","0.0-2.0-0.1-1.24","chuo","auditory","true"
"304.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","54","44600","0.0-2.0-0.1-1.25","chuo","auditory","false"
"675.1000000089407","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","45784","0.0-2.0-0.1-1.26","chuo","auditory","true"
"473.29999999701977","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","46767","0.0-2.0-0.1-1.27","chuo","auditory","true"
"567.8000000119209","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","60","47844","0.0-2.0-0.1-1.28","chuo","auditory","true"
"462.29999999701977","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","48820","0.0-2.0-0.1-1.29","chuo","auditory","true"
"510.80000001192093","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","49836","0.0-2.0-0.1-1.30","chuo","auditory","true"
"479.70000000298023","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","50821","0.0-2.0-0.1-1.31","chuo","auditory","true"
