"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"985.9999999999854","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","3","76128","0.0-2.0-0.0-1.0","cmaz","auditory","true"
"526","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","77162","0.0-2.0-0.0-1.1","cmaz","auditory","true"
"592","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","78260","0.0-2.0-0.0-1.2","cmaz","auditory","true"
"437","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","79204","0.0-2.0-0.0-1.3","cmaz","auditory","true"
"435","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","80146","0.0-2.0-0.0-1.4","cmaz","auditory","true"
"477.99999999998545","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","81133","0.0-2.0-0.0-1.5","cmaz","auditory","true"
"570","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","82209","0.0-2.0-0.0-1.6","cmaz","auditory","true"
"497","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","17","83214","0.0-2.0-0.0-1.7","cmaz","auditory","true"
"510","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","84231","0.0-2.0-0.0-1.8","cmaz","auditory","true"
"526","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","85264","0.0-2.0-0.0-1.9","cmaz","auditory","true"
"416.99999999998545","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","86189","0.0-2.0-0.0-1.10","cmaz","auditory","true"
"506","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","87202","0.0-2.0-0.0-1.11","cmaz","auditory","true"
"502","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","88211","0.0-2.0-0.0-1.12","cmaz","auditory","true"
"237","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","88985","0.0-2.0-0.0-1.13","cmaz","auditory","true"
"372","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","31","89865","0.0-2.0-0.0-1.14","cmaz","auditory","false"
"1752","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","33","92125","0.0-2.0-0.0-1.15","cmaz","auditory","true"
"535","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","101129","0.0-2.0-0.1-1.16","cmaz","auditory","true"
"595","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","102231","0.0-2.0-0.1-1.17","cmaz","auditory","true"
"386","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","103125","0.0-2.0-0.1-1.18","cmaz","auditory","true"
"492.99999999998545","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","104125","0.0-2.0-0.1-1.19","cmaz","auditory","true"
"394.00000000001455","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","105027","0.0-2.0-0.1-1.20","cmaz","auditory","true"
"394.99999999998545","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","105932","0.0-2.0-0.1-1.21","cmaz","auditory","true"
"492","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","106934","0.0-2.0-0.1-1.22","cmaz","auditory","true"
"529","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","107970","0.0-2.0-0.1-1.23","cmaz","auditory","true"
"484","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","108961","0.0-2.0-0.1-1.24","cmaz","auditory","true"
"603","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","110072","0.0-2.0-0.1-1.25","cmaz","auditory","true"
"565","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","111143","0.0-2.0-0.1-1.26","cmaz","auditory","true"
"589.9999999999854","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","112241","0.0-2.0-0.1-1.27","cmaz","auditory","true"
"592.9999999999854","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","60","113356","0.0-2.0-0.1-1.28","cmaz","auditory","true"
"539","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","114424","0.0-2.0-0.1-1.29","cmaz","auditory","true"
"512.9999999999854","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","115444","0.0-2.0-0.1-1.30","cmaz","auditory","true"
"354.00000000001455","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","116307","0.0-2.0-0.1-1.31","cmaz","auditory","true"
