"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1016","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","3","26077","0.0-2.0-0.0-1.0","dhqz","auditory","true"
"1098","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","27680","0.0-2.0-0.0-1.1","dhqz","auditory","true"
"502","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","28685","0.0-2.0-0.0-1.2","dhqz","auditory","true"
"507","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","29700","0.0-2.0-0.0-1.3","dhqz","auditory","true"
"434","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","30641","0.0-2.0-0.0-1.4","dhqz","auditory","true"
"424","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","31567","0.0-2.0-0.0-1.5","dhqz","auditory","true"
"264","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","32334","0.0-2.0-0.0-1.6","dhqz","auditory","true"
"255","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","33090","0.0-2.0-0.0-1.7","dhqz","auditory","true"
"290","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","19","33884","0.0-2.0-0.0-1.8","dhqz","auditory","false"
"531","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","34920","0.0-2.0-0.0-1.9","dhqz","auditory","true"
"398","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","35819","0.0-2.0-0.0-1.10","dhqz","auditory","true"
"533","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","36859","0.0-2.0-0.0-1.11","dhqz","auditory","true"
"682","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","38048","0.0-2.0-0.0-1.12","dhqz","auditory","true"
"787","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","39338","0.0-2.0-0.0-1.13","dhqz","auditory","true"
"1557","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","41396","0.0-2.0-0.0-1.14","dhqz","auditory","true"
"622","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","33","42522","0.0-2.0-0.0-1.15","dhqz","auditory","true"
"897","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","47737","0.0-2.0-0.1-1.16","dhqz","auditory","true"
"452","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","48696","0.0-2.0-0.1-1.17","dhqz","auditory","true"
"960","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","50160","0.0-2.0-0.1-1.18","dhqz","auditory","true"
"585","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","51252","0.0-2.0-0.1-1.19","dhqz","auditory","true"
"622","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","52381","0.0-2.0-0.1-1.20","dhqz","auditory","true"
"649","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","53533","0.0-2.0-0.1-1.21","dhqz","auditory","true"
"451","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","54491","0.0-2.0-0.1-1.22","dhqz","auditory","true"
"591","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","55587","0.0-2.0-0.1-1.23","dhqz","auditory","true"
"376","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","56468","0.0-2.0-0.1-1.24","dhqz","auditory","true"
"445","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","54","57418","0.0-2.0-0.1-1.25","dhqz","auditory","true"
"591","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","58516","0.0-2.0-0.1-1.26","dhqz","auditory","true"
"475","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","59492","0.0-2.0-0.1-1.27","dhqz","auditory","true"
"311","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","60310","0.0-2.0-0.1-1.28","dhqz","auditory","true"
"279","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","61095","0.0-2.0-0.1-1.29","dhqz","auditory","true"
"503","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","62105","0.0-2.0-0.1-1.30","dhqz","auditory","true"
"731","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","66","63337","0.0-2.0-0.1-1.31","dhqz","auditory","true"
