"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"594","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","5260","0.0-2.0-0.0-1.0","efnl","auditory","true"
"365","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","6134","0.0-2.0-0.0-1.1","efnl","auditory","true"
"335","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","6977","0.0-2.0-0.0-1.2","efnl","auditory","true"
"337","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","7818","0.0-2.0-0.0-1.3","efnl","auditory","true"
"353","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","8681","0.0-2.0-0.0-1.4","efnl","auditory","true"
"369","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","9558","0.0-2.0-0.0-1.5","efnl","auditory","true"
"351","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","10417","0.0-2.0-0.0-1.6","efnl","auditory","true"
"419","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","11342","0.0-2.0-0.0-1.7","efnl","auditory","true"
"305","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","12157","0.0-2.0-0.0-1.8","efnl","auditory","true"
"338","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","13003","0.0-2.0-0.0-1.9","efnl","auditory","true"
"349","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","13860","0.0-2.0-0.0-1.10","efnl","auditory","true"
"370","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","14737","0.0-2.0-0.0-1.11","efnl","auditory","true"
"305","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","15544","0.0-2.0-0.0-1.12","efnl","auditory","true"
"324","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","16375","0.0-2.0-0.0-1.13","efnl","auditory","true"
"418","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","17299","0.0-2.0-0.0-1.14","efnl","auditory","true"
"305","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","33","18110","0.0-2.0-0.0-1.15","efnl","auditory","true"
"432","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","22286","0.0-2.0-0.1-1.16","efnl","auditory","true"
"374","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","23166","0.0-2.0-0.1-1.17","efnl","auditory","true"
"444","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","40","24116","0.0-2.0-0.1-1.18","efnl","auditory","true"
"362","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","24986","0.0-2.0-0.1-1.19","efnl","auditory","true"
"337","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","25829","0.0-2.0-0.1-1.20","efnl","auditory","true"
"384","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","26719","0.0-2.0-0.1-1.21","efnl","auditory","true"
"368","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","27596","0.0-2.0-0.1-1.22","efnl","auditory","true"
"423","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","28525","0.0-2.0-0.1-1.23","efnl","auditory","true"
"318","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","29351","0.0-2.0-0.1-1.24","efnl","auditory","true"
"389","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","30245","0.0-2.0-0.1-1.25","efnl","auditory","true"
"414","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","31164","0.0-2.0-0.1-1.26","efnl","auditory","true"
"400","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","32066","0.0-2.0-0.1-1.27","efnl","auditory","true"
"346","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","32919","0.0-2.0-0.1-1.28","efnl","auditory","true"
"353","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","33779","0.0-2.0-0.1-1.29","efnl","auditory","true"
"335","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","34617","0.0-2.0-0.1-1.30","efnl","auditory","true"
"362","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","35485","0.0-2.0-0.1-1.31","efnl","auditory","true"
