"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1026.7000000001863","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","3","32275","0.0-2.0-0.0-1.0","fwc1","auditory","false"
"1022.6000000005588","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","33802","0.0-2.0-0.0-1.1","fwc1","auditory","true"
"498.70000000018626","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","34804","0.0-2.0-0.0-1.2","fwc1","auditory","true"
"552.2000000001863","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","35863","0.0-2.0-0.0-1.3","fwc1","auditory","true"
"601","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","36967","0.0-2.0-0.0-1.4","fwc1","auditory","true"
"695.7000000001863","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","38167","0.0-2.0-0.0-1.5","fwc1","auditory","true"
"450.09999999962747","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","15","39119","0.0-2.0-0.0-1.6","fwc1","auditory","true"
"449.80000000074506","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","40075","0.0-2.0-0.0-1.7","fwc1","auditory","true"
"530.3999999994412","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","41111","0.0-2.0-0.0-1.8","fwc1","auditory","true"
"478.40000000037253","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","42096","0.0-2.0-0.0-1.9","fwc1","auditory","true"
"507.09999999962747","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","43107","0.0-2.0-0.0-1.10","fwc1","auditory","true"
"520","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","44129","0.0-2.0-0.0-1.11","fwc1","auditory","true"
"455.59999999962747","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","45091","0.0-2.0-0.0-1.12","fwc1","auditory","true"
"421.8999999994412","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","46018","0.0-2.0-0.0-1.13","fwc1","auditory","true"
"443.59999999962747","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","46965","0.0-2.0-0.0-1.14","fwc1","auditory","true"
"293.40000000037253","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","47763","0.0-2.0-0.0-1.15","fwc1","auditory","false"
"604.9000000003725","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","36","55036","0.0-2.0-0.1-1.16","fwc1","auditory","true"
"466.09999999962747","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","56008","0.0-2.0-0.1-1.17","fwc1","auditory","true"
"569.9000000003725","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","57084","0.0-2.0-0.1-1.18","fwc1","auditory","true"
"377.69999999925494","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","57969","0.0-2.0-0.1-1.19","fwc1","auditory","true"
"453.09999999962747","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","58928","0.0-2.0-0.1-1.20","fwc1","auditory","true"
"433.29999999981374","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","59867","0.0-2.0-0.1-1.21","fwc1","auditory","true"
"273.80000000074506","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","48","60648","0.0-2.0-0.1-1.22","fwc1","auditory","false"
"614.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","50","61768","0.0-2.0-0.1-1.23","fwc1","auditory","true"
"575.6000000005588","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","52","62846","0.0-2.0-0.1-1.24","fwc1","auditory","true"
"435.79999999981374","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","63788","0.0-2.0-0.1-1.25","fwc1","auditory","true"
"459.80000000074506","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","64752","0.0-2.0-0.1-1.26","fwc1","auditory","true"
"416.70000000018626","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","65675","0.0-2.0-0.1-1.27","fwc1","auditory","true"
"430.1000000005588","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","66611","0.0-2.0-0.1-1.28","fwc1","auditory","true"
"337.90000000037253","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","67455","0.0-2.0-0.1-1.29","fwc1","auditory","true"
"509.19999999925494","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","68470","0.0-2.0-0.1-1.30","fwc1","auditory","true"
"565.7999999998137","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","66","69542","0.0-2.0-0.1-1.31","fwc1","auditory","true"
