"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"976.5999999977648","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","40660","0.0-2.0-0.0-1.0","lmcz","auditory","true"
"546","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","41716","0.0-2.0-0.0-1.1","lmcz","auditory","true"
"647.7999999970198","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","42869","0.0-2.0-0.0-1.2","lmcz","auditory","true"
"1065.2999999970198","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","9","44443","0.0-2.0-0.0-1.3","lmcz","auditory","false"
"729.1999999992549","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","45682","0.0-2.0-0.0-1.4","lmcz","auditory","true"
"757.1999999992549","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","46948","0.0-2.0-0.0-1.5","lmcz","auditory","true"
"454.8999999985099","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","47909","0.0-2.0-0.0-1.6","lmcz","auditory","true"
"436.1000000014901","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","17","48852","0.0-2.0-0.0-1.7","lmcz","auditory","true"
"357.3999999985099","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","49713","0.0-2.0-0.0-1.8","lmcz","auditory","true"
"337.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","21","50553","0.0-2.0-0.0-1.9","lmcz","auditory","true"
"404.5999999977648","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","51464","0.0-2.0-0.0-1.10","lmcz","auditory","true"
"284.0999999977648","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","52253","0.0-2.0-0.0-1.11","lmcz","auditory","false"
"418.9000000022352","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","53175","0.0-2.0-0.0-1.12","lmcz","auditory","true"
"481.4000000022352","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","54159","0.0-2.0-0.0-1.13","lmcz","auditory","true"
"443.80000000074506","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","55105","0.0-2.0-0.0-1.14","lmcz","auditory","true"
"416.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","56028","0.0-2.0-0.0-1.15","lmcz","auditory","true"
"480.20000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","63675","0.0-2.0-0.1-1.16","lmcz","auditory","true"
"385.19999999925494","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","64563","0.0-2.0-0.1-1.17","lmcz","auditory","true"
"499.30000000074506","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","65570","0.0-2.0-0.1-1.18","lmcz","auditory","true"
"482.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","66561","0.0-2.0-0.1-1.19","lmcz","auditory","true"
"425.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","67490","0.0-2.0-0.1-1.20","lmcz","auditory","true"
"370.6000000014901","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","68368","0.0-2.0-0.1-1.21","lmcz","auditory","true"
"331.5999999977648","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","69203","0.0-2.0-0.1-1.22","lmcz","auditory","true"
"423.19999999925494","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","70131","0.0-2.0-0.1-1.23","lmcz","auditory","true"
"401.80000000074506","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","71040","0.0-2.0-0.1-1.24","lmcz","auditory","true"
"440.9000000022352","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","54","71983","0.0-2.0-0.1-1.25","lmcz","auditory","true"
"469.80000000074506","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","72957","0.0-2.0-0.1-1.26","lmcz","auditory","true"
"449.80000000074506","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","73909","0.0-2.0-0.1-1.27","lmcz","auditory","true"
"474","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","74890","0.0-2.0-0.1-1.28","lmcz","auditory","true"
"405.8999999985099","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","75800","0.0-2.0-0.1-1.29","lmcz","auditory","true"
"295.0999999977648","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","64","76598","0.0-2.0-0.1-1.30","lmcz","auditory","false"
"454.30000000074506","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","66","77558","0.0-2.0-0.1-1.31","lmcz","auditory","true"
