"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"916","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","3","24253","0.0-2.0-0.0-1.0","n6x6","auditory","false"
"689","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","25447","0.0-2.0-0.0-1.1","n6x6","auditory","true"
"1025","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","26977","0.0-2.0-0.0-1.2","n6x6","auditory","true"
"530","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","28012","0.0-2.0-0.0-1.3","n6x6","auditory","true"
"462","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","28979","0.0-2.0-0.0-1.4","n6x6","auditory","true"
"396","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","29880","0.0-2.0-0.0-1.5","n6x6","auditory","true"
"326","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","15","30711","0.0-2.0-0.0-1.6","n6x6","auditory","true"
"499","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","31713","0.0-2.0-0.0-1.7","n6x6","auditory","true"
"384","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","32602","0.0-2.0-0.0-1.8","n6x6","auditory","true"
"417","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","21","33524","0.0-2.0-0.0-1.9","n6x6","auditory","true"
"283","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","23","34311","0.0-2.0-0.0-1.10","n6x6","auditory","false"
"487","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","35303","0.0-2.0-0.0-1.11","n6x6","auditory","true"
"461","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","36268","0.0-2.0-0.0-1.12","n6x6","auditory","true"
"327","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","37099","0.0-2.0-0.0-1.13","n6x6","auditory","true"
"400","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","38003","0.0-2.0-0.0-1.14","n6x6","auditory","true"
"337","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","33","38844","0.0-2.0-0.0-1.15","n6x6","auditory","true"
"456","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","43018","0.0-2.0-0.1-1.16","n6x6","auditory","true"
"375","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","43896","0.0-2.0-0.1-1.17","n6x6","auditory","true"
"421","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","44820","0.0-2.0-0.1-1.18","n6x6","auditory","true"
"373","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","42","45698","0.0-2.0-0.1-1.19","n6x6","auditory","true"
"302","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","46504","0.0-2.0-0.1-1.20","n6x6","auditory","true"
"379","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","47387","0.0-2.0-0.1-1.21","n6x6","auditory","true"
"393","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","48","48285","0.0-2.0-0.1-1.22","n6x6","auditory","true"
"394","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","49183","0.0-2.0-0.1-1.23","n6x6","auditory","true"
"351.9999999999927","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","50040","0.0-2.0-0.1-1.24","n6x6","auditory","true"
"350","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","50894","0.0-2.0-0.1-1.25","n6x6","auditory","true"
"371","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","56","51771","0.0-2.0-0.1-1.26","n6x6","auditory","true"
"331","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","52606","0.0-2.0-0.1-1.27","n6x6","auditory","true"
"417.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","53528","0.0-2.0-0.1-1.28","n6x6","auditory","true"
"305","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","54337","0.0-2.0-0.1-1.29","n6x6","auditory","true"
"340","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","55181","0.0-2.0-0.1-1.30","n6x6","auditory","true"
"360.9999999999927","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","56047","0.0-2.0-0.1-1.31","n6x6","auditory","true"
