"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1329.1000000238419","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","4644","0.0-2.0-0.0-1.0","yw3k","auditory","true"
"456.89999997615814","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","5617","0.0-2.0-0.0-1.1","yw3k","auditory","true"
"476.2000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","6599","0.0-2.0-0.0-1.2","yw3k","auditory","true"
"557.4000000953674","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","7670","0.0-2.0-0.0-1.3","yw3k","auditory","true"
"482.60000002384186","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","8669","0.0-2.0-0.0-1.4","yw3k","auditory","true"
"475.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","9665","0.0-2.0-0.0-1.5","yw3k","auditory","true"
"432.6999999284744","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","10606","0.0-2.0-0.0-1.6","yw3k","auditory","true"
"461.39999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","11581","0.0-2.0-0.0-1.7","yw3k","auditory","true"
"528","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","12629","0.0-2.0-0.0-1.8","yw3k","auditory","true"
"401.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","13538","0.0-2.0-0.0-1.9","yw3k","auditory","true"
"445","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","14493","0.0-2.0-0.0-1.10","yw3k","auditory","true"
"477.10000002384186","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","15485","0.0-2.0-0.0-1.11","yw3k","auditory","true"
"437.90000009536743","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","16432","0.0-2.0-0.0-1.12","yw3k","auditory","true"
"457.10000002384186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","17401","0.0-2.0-0.0-1.13","yw3k","auditory","true"
"452.40000009536743","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","18357","0.0-2.0-0.0-1.14","yw3k","auditory","true"
"440.2000000476837","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","33","19306","0.0-2.0-0.0-1.15","yw3k","auditory","true"
"697.8000000715256","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","36","26177","0.0-2.0-0.1-1.16","yw3k","auditory","true"
"436.10000002384186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","27130","0.0-2.0-0.1-1.17","yw3k","auditory","true"
"515.2999999523163","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","28152","0.0-2.0-0.1-1.18","yw3k","auditory","true"
"462.7000000476837","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","42","29129","0.0-2.0-0.1-1.19","yw3k","auditory","true"
"511.59999990463257","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","30160","0.0-2.0-0.1-1.20","yw3k","auditory","true"
"463.2999999523163","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","31136","0.0-2.0-0.1-1.21","yw3k","auditory","true"
"442.89999997615814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","32096","0.0-2.0-0.1-1.22","yw3k","auditory","true"
"437.2000000476837","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","33051","0.0-2.0-0.1-1.23","yw3k","auditory","true"
"453.7999999523163","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","52","34017","0.0-2.0-0.1-1.24","yw3k","auditory","true"
"500.2999999523163","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","35034","0.0-2.0-0.1-1.25","yw3k","auditory","true"
"482.09999990463257","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","36029","0.0-2.0-0.1-1.26","yw3k","auditory","true"
"480.6999999284744","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","37020","0.0-2.0-0.1-1.27","yw3k","auditory","true"
"472","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","37996","0.0-2.0-0.1-1.28","yw3k","auditory","true"
"516.8000000715256","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","39023","0.0-2.0-0.1-1.29","yw3k","auditory","true"
"467.59999990463257","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","40004","0.0-2.0-0.1-1.30","yw3k","auditory","true"
"490.6999999284744","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","41009","0.0-2.0-0.1-1.31","yw3k","auditory","true"
